gene,delta
B3GALT4,-0.0003628507721603613
B3GALT5,-1.274043315291351e-09
B3GNT2,-0.000917549524972805
B3GNT3,-0.00026067424381981397
B3GNT7,-0.0003498875416100278
B3GNTL1,-0.00039808998040025134
B4GALNT1,0.0005815120086115622
B4GALNT3,0.0009758270573518857
B4GALNT4,-0.00030514379285528914
B4GALT1,0.0002532720735130001
B4GALT4,-0.00022709248490493383
B4GALT5,-0.0005152334879209297
B4GALT6,0.0006338611009584216
B9D1,5.609430488417999e-05
BAALC,4.6942339297806335e-05
BACE1,0.00043691367672071824
BACE2,-5.659080717967946e-05
BACH2,-0.0006092085752809062
BAG1,8.550668539974993e-05
BAG2,-0.00014414687172936702
BAG3,-5.8921398339961684e-05
BAIAP2,0.0001387526343524792
BAIAP2L1,-0.0002511550642637639
BAIAP2L2,1.941922656278905e-05
BAIAP3,0.00014876473838654203
BAMBI,-0.0010700349434101808
BANK1,0.0007094531570782658
BARX1,0.0016468114635962428
BARX2,0.0007857658866455841
BASP1,0.000597038690466789
BATF,-0.0013019768072664029
BATF2,-0.0009508845617013373
BATF3,-0.0006734137552948383
BBC3,-5.9033475644731936e-05
BBS5,8.287725061784101e-09
BCAM,0.0005843388425151863
BCAR1,0.001012911118082327
BCAR3,0.0004358906495578463
BCAS1,0.0004086818235777834
BCAS4,-0.0001201283538396769
BCAT1,0.0012044358617548934
BCHE,-0.0007602110662137118
BCL11A,-8.290581361969362e-05
BCL11B,0.0006987812231231683
